,Dorsal,Ventral,Anterior,Posterior,Cd36,High,Low,GEP 8,GEP 9,GEP 10,GEP 11 (UPR),GEP 12,GEP 13,GEP 14,GEP 15,GEP 16
Mt2,0.0,0.001142866514620218,0.0009874827929241157,0.001031538458153863,0.0003680202296840572,0.0008211967805256853,0.0016426442760795747,0.0006760787531145075,0.004673158917364543,0.0005237602701415327,0.0,0.00022559589505580544,0.0,0.0,0.0,0.0
Mt3,0.0,0.0009222058771864344,7.910336688333445e-05,0.0012385456059296686,0.000410329624511397,0.0007867598149516383,0.00026196857094527815,0.0,0.0014479542494305207,0.002027842171483303,0.0,0.0013722894896179242,0.0,0.0,0.00041000360600364276,0.0
Mta3,0.0009782480084968978,0.0018523650910468468,0.00014808899681553013,0.0003998994834324847,0.00022134447246132056,0.0005409927610549732,0.0,0.00026709788906619756,3.662143288322626e-05,0.0,0.0005643018325431657,0.0,0.0,0.0,0.0006251612457768129,0.0
Mtch1,0.0019133141224048458,0.0012856738888319945,0.0022219184702038275,0.0005274803603985464,0.0013586087923098669,0.0007043697629336276,0.0008096162930053805,0.0008776217194511934,0.001102929906366239,0.0010206728544906705,0.0007550523247995328,0.0037782659806304365,0.0018050214669963955,0.0005187521733812699,0.0021791301186519303,0.0010252814593731355
Mtcl1,0.0003415031262836,0.00042311721358166606,0.0003922671322449307,0.0006750595955515557,0.0007562881530358476,0.002864066730511962,6.914682314108273e-05,0.00048753488717995447,5.9610372521723985e-06,0.0,0.0002933032150730563,0.0,0.0005760904394103705,0.0021809707472068,0.0004445368193077947,0.0010736957426537414
Mtr,0.0017922662174784775,0.0,0.0002695943447814512,0.0004173857612257527,0.0004851957869502181,0.0,0.0001779447542580565,0.0010577086367402255,0.0,0.0002841692517610447,0.0006649062269628384,0.0,0.0006897584833925483,0.00147891065605216,0.00010900180394698305,0.0002025193124705218
Mturn,0.0,0.002158186107053399,0.0,0.00019692453038768287,0.0008302486700631287,0.0011291402125260606,0.0005270720675567222,0.0004961354664242023,0.00023799746119626425,0.0,0.0008852262080548981,0.0,0.0024409875298808145,0.000521914387334869,0.0005481590941560341,0.0
Mustn1,0.0,0.0,0.0,0.0,2.8622355780649907e-05,4.265213682347138e-05,0.0,0.0,4.897598823651785e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mvk,0.0011519656560248885,0.0003045509984243855,0.0010923355639357035,3.878038877652978e-05,0.0004577379466606566,0.0,0.0014645445780981261,0.00022530878048255136,0.0016214924766263033,0.0008498134818322831,0.0005506429014344365,0.0014481858484316726,0.0004122127254483718,1.8091766200824565e-05,0.0008315413995584948,0.00043531762997910513
Mxra7,0.0012956767632283026,0.00044396128075946395,0.0007686217927991618,0.00030384661944103116,5.624626819668684e-05,0.0,0.0006525041977700699,0.0,0.0006300101370405568,0.0007003662383605717,0.0,0.0006834723390231438,0.0003924927893434634,0.0002512964672387884,0.0006120818699288903,0.00013982118318782004
